City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Dalbandin,PK,28.8947,64.4101,96.46,28,50,15.39,scattered clouds
258,Bereznik,RU,62.8551,42.7072,64.35,76,50,5.39,light rain
259,Znamensk,RU,48.5842,45.7338,86.07,26,48,11.92,scattered clouds
260,San Felipe,VE,10.3399,-68.7425,90.75,48,66,2.1,broken clouds
261,Ixtapa,MX,20.7,-105.2,83.23,75,92,1.01,overcast clouds
262,Mitsamiouli,KM,-11.3847,43.2844,76.66,71,20,13.56,few clouds
263,Krasnoselkup,RU,65.7,82.4667,57.94,76,80,11.32,light rain
264,Batagay-Alyta,RU,67.8006,130.4114,48.65,84,89,3.91,overcast clouds
265,Coihaique,CL,-45.5752,-72.0662,34.63,87,100,7.0,overcast clouds
266,Antalaha,MG,-14.9003,50.2788,70.2,78,7,12.33,clear sky
267,Santiago De Las Vegas,CU,22.97,-82.3869,85.91,58,67,6.51,broken clouds
268,Neuquen,AR,-38.9516,-68.0591,44.31,53,58,13.62,broken clouds
269,Tatawin,TN,32.9297,10.4518,90.68,24,0,15.5,clear sky
270,Romitan,UZ,39.9343,64.3814,91.35,25,0,9.22,clear sky
271,Ilulissat,GL,69.2167,-51.1,39.24,84,57,5.91,broken clouds
272,Fort Nelson,CA,58.8053,-122.7002,56.79,100,75,5.75,light intensity shower rain
273,Bandarbeyla,SO,9.4942,50.8122,78.78,74,82,34.27,broken clouds
274,Portland,US,45.5234,-122.6762,66.52,82,59,3.0,broken clouds
275,Ostrovnoy,RU,68.0531,39.5131,65.12,79,99,5.1,light rain
276,Port Hawkesbury,CA,45.6169,-61.3485,81.91,64,64,8.99,broken clouds
277,Fort Smith,US,35.3859,-94.3986,90.34,52,73,2.8,broken clouds
278,Shakhtinsk,KZ,49.71,72.5872,82.36,29,24,11.63,few clouds
279,Buta,CD,2.7858,24.73,77.92,84,81,1.63,light rain
280,Puerto Escondido,MX,15.85,-97.0667,84.67,69,93,3.67,light rain
281,Dingle,PH,10.9995,122.6711,77.49,90,100,1.59,overcast clouds
282,Hofn,IS,64.2539,-15.2082,51.1,95,100,8.03,overcast clouds
283,Mahibadhoo,MV,3.7833,72.9667,83.25,75,39,7.96,scattered clouds
