City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
281,Dingle,PH,77.49,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
283,Mahibadhoo,MV,83.25,scattered clouds,3.7833,72.9667,Omadhoo Inn
284,Hamilton,US,85.95,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
286,Maragogi,BR,77.99,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
294,Bubaque,GW,80.85,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
295,Owosso,US,76.21,overcast clouds,42.9978,-84.1766,Comstock Inn and Conference Center
298,Spearfish,US,83.86,clear sky,44.4908,-103.8594,Travelodge by Wyndham Spearfish
299,Shache,CN,84.88,overcast clouds,38.4167,77.2406,Delong Hotel
300,Dharchula,IN,75.34,broken clouds,29.85,80.5333,Mahara Hotel
302,Cape Canaveral,US,89.02,overcast clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
304,Nanakuli,US,77.99,scattered clouds,21.3906,-158.1547,Camp Pālehua
307,Lexington,US,82.94,broken clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
308,Makakilo City,US,76.57,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
309,San Andres,CO,82.63,clear sky,12.5847,-81.7006,Hotel Arena Blanca
310,Gidam,IN,75.11,overcast clouds,18.9833,81.4,सागर
316,Vila Do Maio,CV,76.6,few clouds,15.1333,-23.2167,Hotel Marilu
319,Kahului,US,77.85,broken clouds,20.8947,-156.47,Maui Seaside Hotel
322,Kavaratti,IN,81.75,overcast clouds,10.5669,72.642,Green leaf
324,Sabang,ID,82.78,broken clouds,5.8933,95.3214,Hotel Citra
325,Beibei,CN,82.47,broken clouds,29.8256,106.4339,FX Hotel Chongqing at Beibei Southwest University
326,Sarangani,PH,80.26,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
327,Bambanglipuro,ID,76.42,broken clouds,-7.95,110.2833,Puri Brata
332,Praia Da Vitoria,PT,78.76,clear sky,38.7333,-27.0667,Hotel Branco I
333,Kavieng,PG,80.62,light rain,-2.5744,150.7967,Nusa Island Retreat
336,Puerto Cabezas,NI,87.76,broken clouds,14.0351,-83.3888,Cabaña Caribe
344,Tam Ky,VN,79.72,overcast clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
345,Ibra,OM,85.23,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
351,Yangcun,CN,78.78,few clouds,39.3639,117.0603,Hanting Express Tianjin Wuqing Jingjin Road
356,Jiquilisco,SV,86.59,overcast clouds,13.3167,-88.5833,Canton.rokinte
358,Waw,SS,81.28,broken clouds,7.7029,27.9953,Universal Gab Hotel
359,Golden,US,85.48,scattered clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
360,Asau,RO,81.52,clear sky,46.4333,26.4,Casa Mika Ciobanus
361,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
369,Yola,NG,83.95,light rain,9.2,12.4833,Muna Hotel
371,Buala,SB,79.0,light rain,-8.145,159.5921,Maringe Lagoon Lodge
375,Nanchang,CN,87.67,light rain,28.6833,115.8833,Ruidu Hotel
377,Peruibe,BR,88.38,overcast clouds,-24.32,-46.9983,Hotel Pousada Xapuri
378,Tarauaca,BR,89.35,scattered clouds,-8.1614,-70.7656,Flat Temporada
383,Scunthorpe,GB,82.09,broken clouds,53.579,-0.6544,Premier Inn Scunthorpe hotel
388,Acajutla,SV,84.92,overcast clouds,13.5928,-89.8275,Laureles
390,Lisala,CD,76.12,overcast clouds,2.15,21.5167,Guest house Eden
391,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
392,Gambela,ET,76.39,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
394,Pokhara,NP,75.49,broken clouds,28.2333,83.9833,OYO 170 Hotel View Point
395,Mapiripan,CO,84.31,overcast clouds,2.8892,-72.1256,Monserrate
397,Kara,TG,78.13,moderate rain,9.5511,1.1861,Hotel Ma Vision B2K
398,Kutiyana,IN,81.91,light rain,21.6233,69.9817,દેવંગી પાન
402,Porto Novo,BJ,79.5,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
403,Taloqan,AF,84.07,clear sky,36.7361,69.5345,Saraisang street
404,Moose Factory,CA,76.59,broken clouds,51.2585,-80.6094,Cree Village Eco Lodge
405,Bar-Le-Duc,FR,82.22,clear sky,48.75,5.1667,ibis budget Bar-le-Duc
408,Sassandra,CI,77.14,light rain,4.95,-6.0833,la terrasse
409,Rumford,US,81.95,overcast clouds,44.5537,-70.5509,coastal rentals llc
410,Harper,LR,77.77,overcast clouds,4.375,-7.7169,Screensaver
412,Saint Austell,GB,80.44,clear sky,50.3383,-4.7658,The Cornwall Hotel & Spa
414,Semey,KZ,76.75,scattered clouds,50.4111,80.2275,Grand Hotel Semey
415,Nyirvasvari,HU,84.13,scattered clouds,47.8167,22.1868,Bástya Wellness Hotel
419,Labranzagrande,CO,78.73,overcast clouds,5.5622,-72.575,Hotel Casa Grande
425,Aloleng,PH,78.8,light rain,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
426,Havelock,US,82.38,thunderstorm,34.8791,-76.9013,Sherwood Motel
431,Fort-Shevchenko,KZ,88.79,clear sky,44.5086,50.263,Oasis hotel Bautino
432,Bianzhuang,CN,76.26,overcast clouds,34.8486,118.0447,Hao Shuo Business Hotel
435,Maumere,ID,76.68,broken clouds,-8.6199,122.2111,Sylvia Hotel
437,Gaoual,GN,88.52,broken clouds,11.75,-13.2,Hotel koliba
441,Nuevitas,CU,87.96,broken clouds,21.5453,-77.2644,Hotel Caonaba
443,Kirakira,SB,78.67,scattered clouds,-10.4544,161.9205,SanBiz Lodge
444,Ajdabiya,LY,81.68,clear sky,30.7554,20.2263,Almadina Hotel
445,Korla,CN,75.25,broken clouds,41.7597,86.1469,Gulisitan Hotel
446,Biak,ID,75.16,overcast clouds,-0.9131,122.8766,Penginapan Kim
452,Nara,JP,77.92,light rain,34.6851,135.8049,Guesthouse Nara Komachi
455,Belmonte,BR,78.53,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
457,Kourou,GF,86.11,scattered clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
464,Safaga,EG,89.51,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
470,Iquitos,PE,77.04,heavy intensity rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
473,Anicuns,BR,87.66,broken clouds,-16.4611,-49.9617,Hotel Florida
475,Manadhoo,MV,82.53,scattered clouds,5.7667,73.3833,Bon Abri maldives
481,Sadovoye,RU,87.96,scattered clouds,47.7764,44.5089,Putnik
482,Kudahuvadhoo,MV,83.12,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
484,Alexandria,EG,84.16,clear sky,31.2156,29.9553,Royal Crown Hotel
485,Padang,ID,78.12,broken clouds,-0.9492,100.3543,Mercure Padang
488,Atikokan,CA,82.09,scattered clouds,48.7555,-91.6216,Quetico Inn (formerly Radisson)
489,Meulaboh,ID,78.22,broken clouds,4.1363,96.1285,Kost Pria
494,Clinton,US,77.22,broken clouds,42.587,-82.9199,River's Edge
498,Pecos,US,87.3,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
501,Muli,MV,84.11,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
